Size(Bytes),Stride(Bytes),CacheState,Cycles,Bandwidth_GBps
1024,4,cold,1638,0.377278
1024,4,warm,1636,0.377739
1024,16,cold,464,0.332964
1024,16,warm,466,0.331535
1024,64,cold,170,0.227199
1024,64,warm,166,0.232674
1024,256,cold,100,0.096560
1024,256,warm,100,0.096560
1024,512,cold,98,0.049265
1024,512,warm,92,0.052478
1024,1024,cold,86,0.028070
1024,1024,warm,86,0.028070
1024,2048,cold,86,0.000000
1024,2048,warm,86,0.000000
4096,4,cold,6420,0.385035
4096,4,warm,6852,0.360759
4096,16,cold,1640,0.376818
4096,16,warm,1642,0.376359
4096,64,cold,482,0.320530
4096,64,warm,530,0.291500
4096,256,cold,236,0.163660
4096,256,warm,188,0.205446
4096,512,cold,172,0.112279
4096,512,warm,132,0.146302
4096,1024,cold,128,0.075437
4096,1024,warm,116,0.083241
4096,2048,cold,98,0.049265
4096,2048,warm,92,0.052478
16384,4,cold,27396,0.360917
16384,4,warm,23338,0.423674
16384,16,cold,6372,0.387935
16384,16,warm,5376,0.459807
16384,64,cold,1398,0.442046
16384,64,warm,1942,0.318219
16384,256,cold,574,0.269155
16384,256,warm,536,0.288237
16384,512,cold,322,0.239899
16384,512,warm,232,0.332964
16384,1024,cold,150,0.257492
16384,1024,warm,190,0.203283
16384,2048,cold,110,0.175563
16384,2048,warm,110,0.175563
65536,4,cold,95790,0.412891
65536,4,warm,77974,0.507230
65536,16,cold,18352,0.538780
65536,16,warm,18916,0.522716
65536,64,cold,4960,0.498372
65536,64,warm,5450,0.453564
65536,256,cold,1244,0.496769
65536,256,warm,1930,0.320197
65536,512,cold,1266,0.244068
65536,512,warm,1302,0.237320
65536,1024,cold,538,0.287166
65536,1024,warm,528,0.292605
65536,2048,cold,324,0.238419
65536,2048,warm,216,0.357628
262144,4,cold,304992,0.518712
262144,4,warm,350150,0.451815
262144,16,cold,106190,0.372453
262144,16,warm,71312,0.554616
262144,64,cold,19194,0.515145
262144,64,warm,20542,0.481340
262144,256,cold,5296,0.466753
262144,256,warm,4782,0.516923
262144,512,cold,2822,0.437974
262144,512,warm,2668,0.463254
262144,1024,cold,1484,0.416429
262144,1024,warm,1372,0.450423
262144,2048,cold,1260,0.245231
262144,2048,warm,1182,0.261413
1048576,4,cold,1289954,0.490570
1048576,4,warm,1128800,0.560606
1048576,16,cold,301346,0.524988
1048576,16,warm,400510,0.395004
1048576,64,cold,76608,0.516275
1048576,64,warm,76120,0.519585
1048576,256,cold,27760,0.356185
1048576,256,warm,24856,0.397799
1048576,512,cold,14792,0.334224
1048576,512,warm,17264,0.286367
1048576,1024,cold,7234,0.341709
1048576,1024,warm,7718,0.320280
1048576,2048,cold,3884,0.318219
1048576,2048,warm,3214,0.384556
4194304,4,cold,5537126,0.457141
4194304,4,warm,5241172,0.482955
4194304,16,cold,1853458,0.341423
4194304,16,warm,1430462,0.442383
4194304,64,cold,580852,0.272364
4194304,64,warm,345452,0.457960
4194304,256,cold,90790,0.435629
4194304,256,warm,100514,0.393485
4194304,512,cold,65096,0.303788
4194304,512,warm,51292,0.385545
4194304,1024,cold,26078,0.379158
4194304,1024,warm,23348,0.423492
4194304,2048,cold,12342,0.400571
4194304,2048,warm,13128,0.376588
16777216,4,cold,18477548,0.547962
16777216,4,warm,19355594,0.523105
16777216,16,cold,5469418,0.462801
16777216,16,warm,5692756,0.444644
16777216,64,cold,2523262,0.250791
16777216,64,warm,2567458,0.246474
16777216,256,cold,1289022,0.122731
16777216,256,warm,1129896,0.140016
16777216,512,cold,693938,0.113989
16777216,512,warm,688722,0.114853
16777216,1024,cold,520666,0.075962
16777216,1024,warm,386286,0.102387
16777216,2048,cold,213250,0.092733
16777216,2048,warm,171014,0.115636
67108864,4,cold,77839250,0.520303
67108864,4,warm,82224980,0.492551
67108864,16,cold,23425782,0.432216
67108864,16,warm,23776578,0.425839
67108864,64,cold,10272818,0.246403
67108864,64,warm,9904830,0.255557
67108864,256,cold,5745626,0.110138
67108864,256,warm,5272662,0.120018
67108864,512,cold,3234610,0.097819
67108864,512,warm,3488546,0.090699
67108864,1024,cold,1961272,0.080664
67108864,1024,warm,1875994,0.084330
67108864,2048,cold,1092248,0.072421
67108864,2048,warm,933646,0.084723
134217728,4,cold,154664250,0.523715
134217728,4,warm,155765259,0.520013
134217728,16,cold,43189578,0.468863
134217728,16,warm,43883717,0.461447
134217728,64,cold,18942204,0.267260
134217728,64,warm,18759394,0.269865
134217728,256,cold,11108538,0.113933
134217728,256,warm,12198892,0.103749
134217728,512,cold,6871454,0.092093
134217728,512,warm,6603384,0.095832
134217728,1024,cold,4189422,0.075525
134217728,1024,warm,3869230,0.081775
134217728,2048,cold,2234742,0.070793
134217728,2048,warm,2218102,0.071324
268435456,4,cold,313054766,0.517481
268435456,4,warm,308802960,0.524606
268435456,16,cold,88349484,0.458407
268435456,16,warm,88149804,0.459445
268435456,64,cold,38502864,0.262967
268435456,64,warm,38244146,0.264746
268435456,256,cold,21934514,0.115400
268435456,256,warm,21681346,0.116748
268435456,512,cold,13424562,0.094277
268435456,512,warm,14368116,0.088086
268435456,1024,cold,8715952,0.072604
268435456,1024,warm,8206496,0.077111
268435456,2048,cold,4271894,0.074067
268435456,2048,warm,4031116,0.078491
