Size(Bytes),Stride(Bytes),CacheState,Cycles,Bandwidth_GBps
1024,4,cold,246,2.512118
1024,4,warm,238,2.596559
1024,16,cold,70,2.207075
1024,16,warm,68,2.271989
1024,64,cold,32,1.206994
1024,64,warm,34,1.135994
1024,256,cold,26,0.371383
1024,256,warm,26,0.371383
1024,512,cold,24,0.201166
1024,512,warm,24,0.201166
1024,1024,cold,22,0.109727
1024,1024,warm,22,0.109727
1024,2048,cold,22,0.000000
1024,2048,warm,22,0.000000
4096,4,cold,878,2.815403
4096,4,warm,866,2.854416
4096,16,cold,242,2.553640
4096,16,warm,240,2.574921
4096,64,cold,72,2.145767
4096,64,warm,72,2.145767
4096,256,cold,36,1.072884
4096,256,warm,38,1.016416
4096,512,cold,30,0.643730
4096,512,warm,30,0.643730
4096,1024,cold,26,0.371383
4096,1024,warm,26,0.371383
4096,2048,cold,26,0.185691
4096,2048,warm,22,0.219453
16384,4,cold,3438,2.876002
16384,4,warm,3402,2.906436
16384,16,cold,886,2.789982
16384,16,warm,886,2.789982
16384,64,cold,244,2.532709
16384,64,warm,256,2.413988
16384,256,cold,74,2.087774
16384,256,warm,74,2.087774
16384,512,cold,48,1.609325
16384,512,warm,48,1.609325
16384,1024,cold,40,0.965595
16384,1024,warm,38,1.016416
16384,2048,cold,30,0.643730
16384,2048,warm,30,0.643730
65536,4,cold,13530,2.923192
65536,4,warm,13562,2.916294
65536,16,cold,3598,2.748109
65536,16,warm,3572,2.768112
65536,64,cold,1404,1.760630
65536,64,warm,1082,2.284588
65536,256,cold,522,1.183872
65536,256,warm,388,1.592734
65536,512,cold,274,1.127702
65536,512,warm,198,1.560558
65536,1024,cold,156,0.990354
65536,1024,warm,114,1.355221
65536,2048,cold,80,0.965595
65536,2048,warm,64,1.206994
262144,4,cold,55170,2.867557
262144,4,warm,54956,2.878723
262144,16,cold,15762,2.509249
262144,16,warm,15778,2.506704
262144,64,cold,7602,1.300670
262144,64,warm,6578,1.503146
262144,256,cold,3096,0.798425
262144,256,warm,2280,1.084177
262144,512,cold,1526,0.809936
262144,512,warm,1114,1.109481
262144,1024,cold,692,0.893036
262144,1024,warm,548,1.127702
262144,2048,cold,346,0.893036
262144,2048,warm,278,1.111477
1048576,4,cold,221568,2.856065
1048576,4,warm,221826,2.852743
1048576,16,cold,69660,2.271076
1048576,16,warm,68978,2.293530
1048576,64,cold,40890,0.967248
1048576,64,warm,39426,1.003165
1048576,256,cold,19492,0.507269
1048576,256,warm,17188,0.575267
1048576,512,cold,9824,0.503242
1048576,512,warm,8486,0.582589
1048576,1024,cold,4552,0.543041
1048576,1024,warm,4162,0.593927
1048576,2048,cold,2634,0.469234
1048576,2048,warm,3080,0.401286
4194304,4,cold,1290162,1.961963
4194304,4,warm,1059954,2.388075
4194304,16,cold,417348,1.516271
4194304,16,warm,348938,1.813539
4194304,64,cold,831964,0.190156
4194304,64,warm,198716,0.796127
4194304,256,cold,90470,0.437170
4194304,256,warm,74296,0.532341
4194304,512,cold,37820,0.522882
4194304,512,warm,47814,0.413590
4194304,1024,cold,18234,0.542267
4194304,1024,warm,28390,0.348281
4194304,2048,cold,10680,0.462907
4194304,2048,warm,8812,0.561036
16777216,4,cold,4743308,2.134586
16777216,4,warm,4806458,2.106541
16777216,16,cold,2345576,1.079159
16777216,16,warm,2331074,1.085873
16777216,64,cold,1900972,0.332889
16777216,64,warm,1640754,0.385684
16777216,256,cold,780054,0.202810
16777216,256,warm,675006,0.234373
16777216,512,cold,414694,0.190747
16777216,512,warm,730172,0.108333
16777216,1024,cold,287158,0.137732
16777216,1024,warm,186752,0.211782
16777216,2048,cold,116750,0.169382
16777216,2048,warm,102470,0.192987
67108864,4,cold,19436344,2.083725
67108864,4,warm,19237486,2.105265
67108864,16,cold,9584710,1.056370
67108864,16,warm,9475690,1.068524
67108864,64,cold,9121948,0.277490
67108864,64,warm,8825428,0.286813
67108864,256,cold,5090290,0.124318
67108864,256,warm,4752878,0.133143
67108864,512,cold,2982980,0.106071
67108864,512,warm,2799374,0.113028
67108864,1024,cold,1404596,0.112632
67108864,1024,warm,1271488,0.124424
67108864,2048,cold,676956,0.116849
67108864,2048,warm,606176,0.130493
134217728,4,cold,39992758,2.025367
134217728,4,warm,39781724,2.036111
134217728,16,cold,19105854,1.059885
134217728,16,warm,19255322,1.051657
134217728,64,cold,18029498,0.280790
134217728,64,warm,18155232,0.278845
134217728,256,cold,10390368,0.121808
134217728,256,warm,9938698,0.127343
134217728,512,cold,5913264,0.107016
134217728,512,warm,5724704,0.110541
134217728,1024,cold,2824170,0.112035
134217728,1024,warm,2607824,0.121330
134217728,2048,cold,1488480,0.106285
134217728,2048,warm,1371596,0.115342
268435456,4,cold,80147452,2.021274
268435456,4,warm,79320363,2.042351
268435456,16,cold,38690830,1.046760
268435456,16,warm,40095582,1.010086
268435456,64,cold,37074296,0.273100
268435456,64,warm,37341737,0.271144
268435456,256,cold,20213476,0.125226
268435456,256,warm,20148776,0.125628
268435456,512,cold,11733842,0.107861
268435456,512,warm,12441854,0.101723
268435456,1024,cold,5517880,0.114684
268435456,1024,warm,6289332,0.100617
268435456,2048,cold,2927484,0.108081
268435456,2048,warm,2832926,0.111689
